Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
0	0,005671	0,000092	0,000326	0,000003	0,000001	0,006100	0,000001			
24	0,001905	0,000091	0,000234	0,000008	0,000002	0,002245	0,000001			
48	0,001787	0,000120	0,000234	0,000011	0,000002	0,002160	0,000001			
72	0,001701	0,000123	0,000196	0,000015	0,000003	0,002044	0,000001			
96	0,001531	0,000107	0,000193	0,000017	0,000003	0,001857	0,000001			
120	0,001952	0,000119	0,000231	0,000020	0,000004	0,002331	0,000001			
144	0,001967	0,000105	0,000245	0,000024	0,000004	0,002350	0,000001			
168	0,001851	0,000124	0,000218	0,000026	0,000005	0,002230	0,000001			
192	0,001688	0,000131	0,000212	0,000028	0,000005	0,002070	0,000001			
216	0,001600	0,000124	0,000212	0,000031	0,000006	0,001978	0,000001			
240	0,001983	0,000099	0,000313	0,000033	0,000006	0,002440	0,000001			
264	0,001885	0,000100	0,000299	0,000037	0,000007	0,002334	0,000001			
288	0,001743	0,000129	0,000247	0,000040	0,000007	0,002171	0,000001			
312	0,001587	0,000128	0,000208	0,000042	0,000007	0,001977	0,000001			
336	0,001843	0,000105	0,000285	0,000045	0,000008	0,002292	0,000001			
360	0,002004	0,000101	0,000317	0,000049	0,000009	0,002485	0,000001			
384	0,001914	0,000144	0,000293	0,000052	0,000009	0,002417	0,000001			
408	0,001546	0,000138	0,000167	0,000054	0,000009	0,001919	0,000001			
432	0,001768	0,000143	0,000191	0,000057	0,000010	0,002174	0,000001			
456	0,002294	0,000130	0,000276	0,000061	0,000010	0,002778	0,000001			
480	0,001829	0,000138	0,000210	0,000063	0,000011	0,002256	0,000001			
504	0,001710	0,000143	0,000199	0,000065	0,000011	0,002134	0,000001			
528	0,001586	0,000122	0,000178	0,000069	0,000012	0,001973	0,000001			
552	0,002167	0,000132	0,000264	0,000072	0,000012	0,002652	0,000001			
576	0,002174	0,000141	0,000265	0,000076	0,000013	0,002674	0,000001			
600	0,002464	0,000136	0,000306	0,000079	0,000013	0,003003	0,000001			
624	0,001712	0,000155	0,000228	0,000096	0,000016	0,002214	0,000002			
648	0,001797	0,000149	0,000199	0,000085	0,000014	0,002249	0,000001			
672	0,001803	0,000107	0,000215	0,000088	0,000014	0,002233	0,000001			
696	0,001642	0,000113	0,000203	0,000091	0,000015	0,002069	0,000001			
720	0,001721	0,000126	0,000198	0,000094	0,000015	0,002160	0,000001			
