Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
0	0,004457	0,000154	0,000182	0,000004	0,000002	0,004805	0,000001			
24	0,001383	0,000118	0,000145	0,000009	0,000002	0,001663	0,000001			
48	0,001493	0,000140	0,000166	0,000013	0,000002	0,001821	0,000001			
72	0,001439	0,000154	0,000160	0,000016	0,000003	0,001778	0,000001			
96	0,001306	0,000130	0,000166	0,000020	0,000004	0,001632	0,000001			
120	0,001512	0,000164	0,000157	0,000021	0,000004	0,001863	0,000001			
144	0,001589	0,000156	0,000165	0,000025	0,000004	0,001946	0,000001			
168	0,001583	0,000165	0,000159	0,000028	0,000005	0,001945	0,000001			
192	0,001376	0,000163	0,000165	0,000032	0,000006	0,001748	0,000001			
216	0,001442	0,000162	0,000175	0,000034	0,000007	0,001828	0,000001			
240	0,001645	0,000156	0,000163	0,000037	0,000007	0,002014	0,000001			
264	0,001458	0,000152	0,000164	0,000041	0,000008	0,001829	0,000001			
288	0,001500	0,000163	0,000162	0,000041	0,000008	0,001880	0,000001			
312	0,001381	0,000170	0,000158	0,000046	0,000008	0,001769	0,000001			
336	0,001533	0,000164	0,000167	0,000050	0,000009	0,001930	0,000001			
360	0,001715	0,000161	0,000172	0,000053	0,000010	0,002117	0,000001			
384	0,001600	0,000167	0,000168	0,000054	0,000009	0,002004	0,000001			
408	0,001276	0,000164	0,000148	0,000056	0,000010	0,001662	0,000001			
432	0,001472	0,000193	0,000161	0,000061	0,000011	0,001903	0,000001			
456	0,002032	0,000195	0,000181	0,000066	0,000012	0,002492	0,000001			
480	0,001613	0,000178	0,000168	0,000069	0,000013	0,002048	0,000001			
504	0,001487	0,000172	0,000162	0,000072	0,000013	0,001913	0,000001			
528	0,001387	0,000175	0,000153	0,000073	0,000013	0,001807	0,000001			
552	0,001617	0,000189	0,000165	0,000073	0,000012	0,002063	0,000001			
576	0,001985	0,000198	0,000187	0,000082	0,000015	0,002474	0,000001			
600	0,002192	0,000198	0,000188	0,000083	0,000014	0,002682	0,000001			
624	0,001294	0,000161	0,000146	0,000079	0,000014	0,001700	0,000001			
648	0,001618	0,000192	0,000159	0,000084	0,000015	0,002073	0,000001			
672	0,001512	0,000153	0,000155	0,000092	0,000016	0,001934	0,000001			
696	0,001669	0,000167	0,000172	0,000097	0,000018	0,002129	0,000001			
